"PREMIO_SEGURO_LIQUIDO","PREMIO_Resseguro_Bruto","COMISSAO_Resseguro","LMG_Ultimo_Unique","PREMIO_NET_Corrigido","COMISSAO_de_Resseguro_Corrigida","Check_Premio_de_Resseguro"
-37650,-5647,-706,82500000,-4942,-706,-5647
765,77,10,41040237,67,10,77
3813,467,58,77980000,409,58,467
3314,331,41,89927479,290,41,331
-98578,-6163,-770,64046340,-5393,-770,-6163
901,180,23,2.1e+07,158,23,180
9073,1815,227,17600000,1588,227,1815
5588,1117,140,33602400,978,140,1117
1119,224,28,1.8e+07,196,28,224
8753,1751,219,10800000,1532,219,1751
789,118,15,24600000,103,15,118
-464,-70,-9,27500000,-61,-9,-70
-122488,-18373,-2297,32840000,-16077,-2297,-18373
164982,24747,3093,1.4e+07,21654,3093,24747
58727,8809,1101,32840000,7708,1101,8809
295985,14799,1850,51118374,12949,1850,14799
83636,12545,1568,43125000,10977,1568,12545
191215,28682,3585,55358930,25097,3585,28682
405753,35503,4438,29250000,31066,4438,35503
400700,60105,7513,36400000,52592,7513,60105
350000,28000,3500,20597940,24500,3500,28000
91331,13700,1712,3.2e+07,11987,1712,13700
127096,19064,2383,30496210,16681,2383,19064
154985,38746,4843,2e+07,33903,4843,38746
119321,23864,2983,2.5e+07,20881,2983,23864
147412,29482,3685,40673792,25797,3685,29482
85000,12750,1594,37320000,11156,1594,12750
-109902,-16485,-2061,23161544,-14425,-2061,-16485
70321,7032,879,18344249,6153,879,7032
36643,7329,916,14720000,6412,916,7329
75232,17303,2163,1.2e+07,15140,2163,17303
278458,55692,6961,24142041,48730,6961,55692
70549,8819,1102,7500000,7716,1102,8819
279142,41871,5234,51413613,36637,5234,41871
50250,7537,942,15799984,6595,942,7537
15400,2310,289,7200000,2021,289,2310
129352,19403,2425,9200000,16977,2425,19403
29659,5932,741,18360000,5190,741,5932
347234,27779,3472,6e+07,24306,3472,27779
95583,19117,2390,2e+07,16727,2390,19117
125953,18893,2362,18060000,16531,2362,18893
54479,10896,1362,8e+06,9534,1362,10896
98228,9823,1228,71167442,8595,1228,9823
-174,-26,-3,46250000,-23,-3,-26
680,68,9,45397730,60,9,68
127096,19064,2383,34852811,16681,2383,19064
153817,23072,2884,46884638,20188,2884,23072
2794,170,21,53375000,149,21,170
115,17,2,22742395,15,2,17
59479,4461,558,24400000,3903,558,4461
29541,4431,554,29360000,3877,554,4431
1800,126,16,66220000,110,16,126
-208,-21,-3,72971947,-18,-3,-21
-26003,-1301,-163,88393200,-1138,-163,-1301
7095,355,44,2e+07,310,44,355
54148,3249,406,22357500,2843,406,3249
11478,1722,215,74250000,1507,215,1722
6658,999,125,17498250,874,125,999
1437,287,36,5e+07,252,36,287
13722,1372,172,3.8e+07,1201,172,1372
15739,1573,197,18001200,1377,197,1573
24379,2438,305,24748142,2133,305,2438
32510,8127,1016,56250000,7111,1016,8127
536000,53600,6700,36750000,46900,6700,53600
315146,18909,2364,55332843,16545,2364,18909
303700,24296,3037,2e+07,21259,3037,24296
347865,34787,4348,40503240,30438,4348,34787
227000,40860,5108,4e+07,35753,5108,40860
416060,41606,5201,21029440,36405,5201,41606
55548,5555,694,40500000,4860,694,5555
137938,6897,862,11998074,6035,862,6897
156000,15600,1950,15400000,13650,1950,15600
-59285,-8893,-1112,19350000,-7781,-1112,-8893
17831,2318,290,4725000,2028,290,2318
239734,47947,5993,19620000,41953,5993,47947
334250,66850,8356,22500000,58494,8356,66850
82129,16426,2053,17600000,14373,2053,16426
358785,26909,3364,3e+07,23545,3364,26909
135808,20371,2546,32840000,17825,2546,20371
75141,11271,1409,43425000,9862,1409,11271
197244,29587,3698,2.1e+07,25888,3698,29587
245031,36755,4594,39276218,32160,4594,36755
59285,8893,1112,19350000,7781,1112,8893
194645,19464,2433,1.5e+07,17031,2433,19464
101106,12133,1517,6804000,10616,1517,12133
106125,15919,1990,18400000,13929,1990,15919
33699,8425,1053,56250000,7372,1053,8425
340000,34000,4250,19998000,29750,4250,34000
209472,31421,3928,4.2e+07,27493,3928,31421
94167,12242,1530,44480000,10712,1530,12242
175223,33292,4162,26834801,29131,4162,33292
20037,2605,326,10800000,2279,326,2605
138789,20818,2602,6150000,18216,2602,20818
275152,27515,3439,34800000,24076,3439,27515
496210,49621,6203,4.8e+07,43418,6203,49621
11491,1379,172,22465357,1207,172,1379
18922,1892,237,102600000,1656,237,1892
876,88,11,81750000,77,11,88
4375,372,46,92799130,325,46,372
17658,883,110,50810160,773,110,883
7216,1082,135,4.5e+07,947,135,1082
2039,204,25,84981530,178,25,204
32811,4922,615,13500000,4306,615,4922
41991,4199,525,3.6e+07,3674,525,4199
6864,480,60,2.2e+07,420,60,480
-1622,-162,-20,12660000,-142,-20,-162
1269,190,24,31500000,167,24,190
5683,852,107,3.4e+07,746,107,852
425,64,8,2e+07,56,8,64
1424,285,36,31500000,249,36,285
138724,27745,3468,13800000,24277,3468,27745
61600,6160,770,3.6e+07,5390,770,6160
-132,-20,-2,16499984,-17,-2,-20
-1536,-173,-22,3.3e+07,-151,-22,-173
1186,237,30,20486728,208,30,237
-156000,-23400,-2925,25496940,-20475,-2925,-23400
33973,4756,595,25674694,4162,595,4756
368299,36830,4604,45990000,32226,4604,36830
228115,22811,2851,30002000,19960,2851,22811
417729,20886,2611,46722449,18276,2611,20886
6080,912,114,33002860,798,114,912
504320,75648,9456,43649096,66192,9456,75648
606258,30313,3789,20557320,26524,3789,30313
405426,40543,5068,27799997,35475,5068,40543
318849,31885,3986,94250004,27899,3986,31885
159595,27131,3391,1.2e+08,23740,3391,27131
109370,16406,2051,6e+07,14355,2051,16406
151914,22787,2848,22050000,19939,2848,22787
567599,70950,8869,9e+07,62081,8869,70950
25840,5168,646,1.5e+07,4522,646,5168
13361,2004,251,3600000,1754,251,2004
-21666,-2167,-271,44400000,-1896,-271,-2167
3446,689,86,22800000,603,86,689
-59285,-8893,-1112,19350000,-7781,-1112,-8893
16195,2429,304,2.2e+07,2126,304,2429
59913,5991,749,17961850,5242,749,5991
65839,10533,1317,4200336,9216,1317,10533
204295,32684,4085,20161613,28598,4085,32684
168049,26885,3361,15681254,23525,3361,26885
-113952,-11395,-1424,4.5e+07,-9971,-1424,-11395
205536,25692,3212,44043765,22481,3212,25692
113953,11395,1424,4.5e+07,9971,1424,11395
174240,26136,3267,23850000,22869,3267,26136
381423,57213,7152,18276727,50062,7152,57213
55250,5525,691,20250000,4834,691,5525
168875,28709,3589,1561250,25120,3589,28709
254836,43322,5415,14491908,37907,5415,43322
21739,2391,299,39146000,2092,299,2391
176690,26503,3313,49786138,23191,3313,26503
279248,34906,4363,44299200,30543,4363,34906
1381,138,17,12200000,121,17,138
18898,3780,472,10800000,3307,472,3780
3e+05,45000,5625,2.4e+07,39375,5625,45000
139980,20997,2625,1.2e+07,18372,2625,20997
7203,720.26,90,24547506,630,90,720
35644,1781.25,223,45590776,1559,223,1781
16460,1645.97,206,70931701,1440,206,1646
75164,7516.36,940,79359000,6577,940,7516
6071,607.07,76,129475623,531,76,607
5324,532.41,67,13650000,466,67,532
31974,4796.16,600,39079805,4197,600,4796
13275,1327.5,166,52500000,1162,166,1328
1554,233.1,29,32252773,204,29,233
1026,153.9,19,3.6e+07,135,19,154
120351,12035.09,1504,3.5e+07,10531,1504,12035
118690,17803.5,2225,5.4e+07,15578,2225,17804
450,28.13,4,65976368,25,4,28
395,59.28,7,58676867,52,7,59
39320,3932,492,103734032,3441,492,3932
326699,65339.87,8167,53390594,57172,8167,65340
2051,114.85,14,71243350,100,14,115
304106,60821.17,7603,42800000,53219,7603,60821
278200,34775.06,4347,24997500,30428,4347,34775
393575,23614.48,2952,1.5e+07,20663,2952,23614
245800,41786,5223,2.6e+07,36563,5223,41786
337923,67584.58,8448,27674808,59137,8448,67585
326400,71808,8976,52200000,62832,8976,71808
423524,42352.35,5294,18901260,37058,5294,42352
182828,27424.23,3428,3e+07,23996,3428,27424
282550,42382.5,5298,2.6e+07,37085,5298,42383
21999,4399.83,550,31999203,3850,550,4400
-25361,-3804.11,-476,3.6e+07,-3329,-476,-3804
789,118.28,15,24600000,103,15,118
93275,13991.25,1749,2.8e+07,12242,1749,13991
85765,8576.5,1072,52500000,7504,1072,8576
-11516,-575.81,-72,127500000,-504,-72,-576
133461,9342.33,1168,64989600,8175,1168,9342
4033,403.27,50,34000850,353,50,403
14944,2491.19,311,20664000,2180,311,2491
939,187.76,23,6844000,164,23,188
1106,110.61,14,83249075,97,14,111
125315,12531.54,1566,60887027,10965,1566,12532
1604,80.19,10,39785684,70,10,80
3486,453.18,57,85431105,397,57,453
12007,2401.42,300,16800000,2101,300,2401
276133,55226.56,6903,3e+07,48323,6903,55227
223248,12944.16,1618,46243546,11326,1618,12944
25274,1263.7,158,9e+06,1106,158,1264
5906,885.85,111,36265096,775,111,886
345199,34519.93,4315,55500000,30205,4315,34520
10755,1613.3,202,1.1e+07,1412,202,1613
173,17.29,2,49126000,15,2,17
-102,-13.3,-2,17100000,-12,-2,-13
11943,1791.38,224,2e+07,1567,224,1791
2319,231.9,29,23544788,203,29,232
16988,2548.25,319,18400000,2230,319,2548
-2626,-393.83,-49,7500000,-345,-49,-394
320730,48109.52,6014,2.1e+07,42096,6014,48110
398035,39803.54,4975,11998800,34828,4975,39804
149208,22381.18,2798,14700000,19584,2798,22381
96000,14400,1800,33222420,12600,1800,14400
188016,37603.2,4700,1.2e+07,32903,4700,37603
96327,20228.69,2529,3011800,17700,2529,20229
175000,35000,4375,3e+07,30625,4375,35000
146525,29304.99,3663,13800000,25642,3663,29305
213505,21350.54,2669,10886433,18682,2669,21351
186247,37249.37,4656,7700000,32593,4656,37249
596062,71527.42,8941,24603739,62586,8941,71527
-1128,-112.78,-14,40200000,-99,-14,-113
2596,454.3,57,23040000,398,57,454
22186,2218.64,277,7.5e+07,1941,277,2219
24822,2978.62,372,43402827,2606,372,2979
17275,3455.06,432,48750000,3023,432,3455
12044,3010.95,376,22800000,2635,376,3011
1138,227.61,28,31948800,199,28,228
808,121.13,15,12001500,106,15,121
-19525,-1952.55,-244,2e+07,-1708,-244,-1953
139500,25110,3139,30770600,21971,3139,25110
100275,15041.25,1880,4.5e+07,13161,1880,15041
77276,7727.64,1043,16815562,6684,1043,7728
311873,62374.6,8421,21124286,53954,8421,62375
372867,29829.38,4027,48100000,25802,4027,29829
432756,64913.4,8763,36400000,56150,8763,64913
337095,40451.39,5461,26004000,34990,5461,40451
49778,9955.65,1344,9856580,8612,1344,9956
229115,45823.05,6186,26856525,39637,6186,45823
62250,12450.06,1681,10200000,10769,1681,12450
304217,45632.58,6160,51413613,39472,6160,45633
434043,73787.38,9961,2.4e+07,63826,9961,73787
90868,9086.8,1227,1e+07,7860,1227,9087
83836,10479.48,1415,5625000,9065,1415,10479
464923,23246.17,3138,17475982,20108,3138,23246
136955,20543.25,2773,17893600,17770,2773,20543
282003,42307.5,5712,11251875,36596,5712,42308
185000,38850,5245,2e+07,33605,5245,38850
171320,25698,3469,1e+07,22229,3469,25698
219450,43890,5925,13650000,37965,5925,43890
216515,32477.28,4384,2.4e+07,28093,4384,32477
2711,271.07,34,90746087,237,34,271
81500,5704.97,713,80425517,4992,713,5705
-373,-55.88,-7,4.2e+07,-49,-7,-56
6390,638.98,80,49053270,559,80,639
4526,678.94,85,4421029,594,85,679
8039,1205.85,151,3025000,1055,151,1206
22854,1371.26,171,112500000,1200,171,1371
-3383,-541.2,-68,104270160,-474,-68,-541
6447,967.01,121,12200000,846,121,967
24120,2412,302,18001200,2111,302,2412
11440,486.2,61,63004200,425,61,486
5603,840.44,105,25511788,735,105,840
39104,1955.19,244,34164624,1711,244,1955
-8267,-1033.32,-129,12880322,-904,-129,-1033
6613,991.99,124,16775000,868,124,992
17294,2594.05,324,13200000,2270,324,2594
15174,3034.84,379,39306311,2655,379,3035
18158,2723.71,340,30400000,2383,340,2724
3444,430.5,54,2.4e+07,377,54,431
12781,1917.19,240,3.3e+07,1678,240,1917
-42283,-2114.15,-264,42460000,-1850,-264,-2114
39134,3130.71,391,46746000,2739,391,3131
24092,1686.41,211,15300000,1476,211,1686
49744,2487.2,311,44604185,2176,311,2487
14917,745.83,93,12635470,653,93,746
16905,2535.73,317,9900000,2219,317,2536
1051,157.68,20,1.2e+07,138,20,158
147371,29474.13,3979,2e+07,25495,3979,29474
79034,11855.15,1600,32400000,10255,1600,11855
642135,38528.12,5201,34395207,33327,5201,38528
173982,12178.79,1644,126010080,10535,1644,12179
186348,18634.76,2516,18758143,16119,2516,18635
304759,45713.82,6171,23200000,39542,6171,45714
489312,61164,8257,28500000,52907,8257,61164
223785,33567.71,4532,1.2e+07,29036,4532,33568
438100,65715,8872,16764000,56843,8872,65715
166819,25022.83,3378,28404164,21645,3378,25023
475132,40386.22,5452,19500000,34934,5452,40386
-132295,-19844.31,-2679,1.6e+07,-17165,-2679,-19844
11025,1653.69,223,1.6e+07,1430,223,1654
178245,26736.82,3609,30496210,23127,3609,26737
195414,25403.82,3430,46740000,21974,3430,25404
227199,45435.25,6134,43795620,39301,6134,45435
185000,20350,2747,14417812,17603,2747,20350
147500,22125,2987,27475000,19138,2987,22125
247617,49523.38,6686,2.4e+07,42838,6686,49523
250500,50100,6764,9e+06,43337,6764,50100
413100,41310.08,5577,19998000,35733,5577,41310
-23885,-1731.16,-234,23561520,-1497,-234,-1731
116575,23315,3148,9e+06,20167,3148,23315
23680,2368,320,11100000,2048,320,2368
144983,21747.48,2936,4738424,18812,2936,21747
143250,21487.5,2901,5.4e+07,18587,2901,21488
383452,57517.87,7765,24841366,49753,7765,57518
230518,23042.63,3111,25002000,19932,3111,23043
224554,40419.64,5457,3.5e+07,34963,5457,40420
15850,1585,214,18359036,1371,214,1585
274706,41205.93,5563,59180618,35643,5563,41206
151485,25752.46,3477,13244000,22276,3477,25752
245430,36814.5,4970,1.6e+07,31845,4970,36815
2085,312.68,39,9.6e+07,274,39,313
53001,5300.15,663,3.5e+07,4638,663,5300
87223,8722.27,1090,68069814,7632,1090,8722
48833,4884.28,611,40032701,4274,611,4884
723,72.25,9,22742395,63,9,72
1255,188.24,24,20400000,165,24,188
95328,14299.23,1787,1.11e+08,12512,1787,14299
36030,6125.14,766,15822795,5359,766,6125
2443,244.3,31,52500000,214,31,244
7213,1081.98,135,61075763,947,135,1082
6027,602.74,75,14283828,527,75,603
50229,8287.79,1036,96759487,7252,1036,8288
2554,434.21,54,2.2e+07,380,54,434
32539,3253.9,407,78239237,2847,407,3254
1320,118.8,15,30747303,104,15,119
26140,2614,327,20400000,2287,327,2614
-28746,-2012.24,-252,2.2e+07,-1761,-252,-2012
689,120.49,15,17500000,105,15,120
27570,4686.89,586,6e+07,4101,586,4687
40450,7078.73,885,50330500,6194,885,7079
149533,29906.64,4037,18481269,25869,4037,29907
590107,59004.77,7966,44592548,51039,7966,59005
86445,17289,2334,7500000,14955,2334,17289
448244,44824.34,6051,18747750,38773,6051,44824
225666,33849.9,4570,31500000,29280,4570,33850
389605,38960.49,5260,14999400,33701,5260,38960
131281,19692.08,2658,3e+07,17034,2658,19692
272550,54510.08,7359,2.7e+07,47151,7359,54510
434486,65172.89,8798,10966036,56375,8798,65173
65084,16271,2197,18725200,14074,2197,16271
105187,10518.69,1420,8803778,9099,1420,10519
67940,5095.5,688,29024294,4408,688,5096
14355,2153.25,291,1.6e+07,1863,291,2153
696805,52260.38,7055,14683800,45205,7055,52260
173023,30279.05,4088,3e+07,26191,4088,30279
235280,47056,6353,37200000,40703,6353,47056
50870,10174.09,1374,1.5e+07,8801,1374,10174
-20278,-3041.75,-411,9829842,-2631,-411,-3042
48667,7300.02,986,6840000,6315,986,7300
20278,3041.75,411,9829842,2631,411,3042
142051,21307.64,2877,2.4e+07,18431,2877,21308
170259,17025.9,2298,6500000,14727,2298,17026
501246,25062.3,3383,42460000,21679,3383,25062
326555,48983.32,6613,35334000,42371,6613,48983
348183,52227.43,7051,4.2e+07,45177,7051,52227
193650,29047.45,3921,3.4e+07,25126,3921,29047
218290,27286.27,3684,44043765,23603,3684,27286
